Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,183.820007,187.300003,183.419998,187.179993,182.199005,17731300
2018-07-03,187.789993,187.949997,183.539993,183.919998,179.025772,13954800
2018-07-05,185.259995,186.410004,184.279999,185.399994,180.466370,16604200
2018-07-06,185.419998,188.429993,185.199997,187.970001,182.967972,17485200
2018-07-09,189.500000,190.679993,189.300003,190.580002,185.508545,19756600
2018-07-10,190.710007,191.279999,190.179993,190.350006,185.284698,15939100
2018-07-11,188.500000,189.779999,187.610001,187.880005,182.880386,18831500
2018-07-12,189.529999,191.410004,189.309998,191.029999,185.946564,18041100
2018-07-13,191.080002,191.839996,190.899994,191.330002,186.238571,12513900
2018-07-16,191.520004,192.649994,190.419998,190.910004,185.829773,15043100
2018-07-17,189.750000,191.869995,189.199997,191.449997,186.355377,15534500
2018-07-18,191.779999,191.800003,189.929993,190.399994,185.333313,16393400
2018-07-19,189.690002,192.550003,189.690002,191.880005,186.773956,20286800
2018-07-20,191.779999,192.429993,190.169998,191.440002,186.345688,20676200
2018-07-23,190.679993,191.960007,189.559998,191.610001,186.511108,15989400
2018-07-24,192.449997,193.660004,192.050003,193.000000,187.864151,18697900
2018-07-25,193.059998,194.850006,192.429993,194.820007,189.635712,16709900
2018-07-26,194.610001,195.960007,193.610001,194.210007,189.041946,19076000
2018-07-27,194.990005,195.190002,190.100006,190.979996,185.897903,24024000
2018-07-30,191.899994,192.199997,189.070007,189.910004,184.856369,21029500
2018-07-31,190.300003,192.139999,189.339996,190.289993,185.226242,39373000
2018-08-01,199.130005,201.759995,197.309998,201.500000,196.137955,67935700
2018-08-02,200.580002,208.380005,200.350006,207.389999,201.871216,62404000
2018-08-03,207.029999,208.740005,205.479996,207.990005,202.455231,33447400
2018-08-06,208.000000,209.250000,207.070007,209.070007,203.506500,25425400
2018-08-07,209.320007,209.500000,206.759995,207.110001,201.598648,25587400
2018-08-08,206.050003,207.809998,204.520004,207.250000,201.734955,22525500
2018-08-09,209.529999,209.779999,207.199997,208.880005,203.321579,23492600
2018-08-10,207.360001,209.100006,206.669998,207.529999,202.715927,24611200
2018-08-13,209.309998,210.949997,207.699997,208.869995,204.024841,25890900
2018-08-14,210.160004,210.559998,208.259995,209.750000,204.884491,20748000
2018-08-15,209.220001,210.740005,208.330002,210.240005,205.363083,28807600
2018-08-16,211.750000,213.809998,211.470001,213.320007,208.371658,28500400
2018-08-17,213.440002,217.949997,213.160004,217.580002,212.532806,35427000
2018-08-20,218.100006,219.179993,215.110001,215.460007,210.462006,30287700
2018-08-21,216.800003,217.190002,214.029999,215.039993,210.051727,26159800
2018-08-22,214.100006,216.360001,213.839996,215.050003,210.061523,19018100
2018-08-23,214.649994,217.050003,214.600006,215.490005,210.491318,18883200
2018-08-24,216.600006,216.899994,215.110001,216.160004,211.145767,18476400
2018-08-27,217.149994,218.740005,216.330002,217.940002,212.884460,20525100
2018-08-28,219.009995,220.539993,218.919998,219.699997,214.603638,22776800
2018-08-29,220.149994,223.490005,219.410004,222.979996,217.807571,27254800
2018-08-30,223.250000,228.259995,222.399994,225.029999,219.809998,48793800
2018-08-31,226.509995,228.869995,226.000000,227.630005,222.349686,43340100
2018-09-04,228.410004,229.179993,226.630005,228.360001,223.062759,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,221.607346,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,217.924789,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,216.166550,37619800
2018-09-10,220.949997,221.850006,216.470001,218.330002,213.265411,39516500
2018-09-11,218.009995,224.300003,216.559998,223.850006,218.657410,35749000
2018-09-12,224.940002,225.000000,219.839996,221.070007,215.941879,49278700
2018-09-13,223.520004,228.350006,222.570007,226.410004,221.157990,41706400
